id,country,country_2,city,institution,cond,response,above40,male,coworkers,computer,other_bystanders
24970,38,UAE,267,2,0,0,1,1,0,1,0
24887,38,UAE,240,5,0,0,1,1,1,1,1
24981,38,UAE,267,2,1,0,0,1,1,1,0
24881,38,UAE,240,4,0,0,0,0,0,1,0
25093,38,UAE,327,3,1,0,0,0,0,1,0
24829,38,UAE,237,3,1,100,0,1,0,1,1
25170,38,UAE,340,5,1,0,1,1,1,0,0
25005,38,UAE,267,4,0,100,0,1,0,1,1
24977,38,UAE,267,2,1,0,0,0,0,1,0
25063,38,UAE,273,3,1,100,0,0,0,1,1
24835,38,UAE,237,4,1,0,1,1,0,1,1
25067,38,UAE,273,4,0,0,1,1,0,1,1
24884,38,UAE,240,5,0,0,0,1,1,1,1
24925,38,UAE,241,3,1,0,0,0,0,1,1
24916,38,UAE,241,2,1,0,0,1,0,0,0
25086,38,UAE,327,2,0,100,0,1,1,1,0
25013,38,UAE,267,4,0,0,0,0,0,1,1
24979,38,UAE,267,2,1,100,1,0,1,0,1
24819,38,UAE,237,3,0,0,0,0,1,1,0
25140,38,UAE,340,3,0,0,1,1,0,1,1
24950,38,UAE,267,1,0,0,0,0,0,0,1
24833,38,UAE,237,4,0,0,0,0,1,1,1
25045,38,UAE,267,5,1,0,0,1,0,1,1
24822,38,UAE,237,3,1,0,0,0,1,1,1
25171,38,UAE,340,5,1,0,1,1,1,0,0
24987,38,UAE,267,3,0,0,0,1,0,1,1
24899,38,UAE,241,1,0,0,0,1,0,0,1
25003,38,UAE,267,4,0,0,1,1,1,1,0
24943,38,UAE,241,5,1,0,0,0,1,1,1
25130,38,UAE,340,2,1,0,1,0,1,1,1
25104,38,UAE,327,5,0,0,0,1,1,1,1
25046,38,UAE,267,5,1,100,0,1,1,0,1
24810,38,UAE,237,3,0,0,0,0,1,1,1
25128,38,UAE,340,2,0,0,0,1,1,1,0
25020,38,UAE,267,4,1,0,0,0,1,1,1
25007,38,UAE,267,4,0,0,1,1,1,1,1
25078,38,UAE,327,1,0,0,0,0,0,1,1
24901,38,UAE,241,1,1,0,0,0,0,1,1
25153,38,UAE,340,4,0,0,0,0,0,1,1
24992,38,UAE,267,3,1,0,0,0,0,1,1
25120,38,UAE,340,1,1,100,0,0,1,1,1
25137,38,UAE,340,2,1,100,0,0,0,1,1
24958,38,UAE,267,1,1,100,1,0,1,1,1
24788,38,UAE,237,1,1,0,0,0,0,1,1
24877,38,UAE,240,3,1,100,0,1,0,1,1
25054,38,UAE,273,1,1,0,0,0,1,1,1
24971,38,UAE,267,2,0,0,0,0,1,1,1
25147,38,UAE,340,3,1,0,0,1,1,1,0
24790,38,UAE,237,1,1,0,0,1,1,1,1
24915,38,UAE,241,2,1,100,1,0,0,1,0
24783,38,UAE,237,1,1,100,1,1,1,1,1
24803,38,UAE,237,2,1,100,0,1,0,0,1
25159,38,UAE,340,4,1,0,0,0,1,1,1
24873,38,UAE,240,3,0,100,0,0,1,1,1
24934,38,UAE,241,5,0,0,1,1,0,1,0
25074,38,UAE,273,5,1,0,1,1,1,0,0
24996,38,UAE,267,3,1,0,0,1,0,1,1
24936,38,UAE,241,5,0,0,0,1,1,1,1
24968,38,UAE,267,2,0,100,0,0,1,1,0
24985,38,UAE,267,3,0,0,0,0,0,1,1
25135,38,UAE,340,2,1,100,0,1,0,1,0
25096,38,UAE,327,3,1,0,0,1,0,1,1
25169,38,UAE,340,5,1,0,0,0,1,1,1
24980,38,UAE,267,2,1,0,1,0,1,1,0
25012,38,UAE,267,4,0,0,0,0,0,1,0
25146,38,UAE,340,3,1,100,1,1,0,1,1
24951,38,UAE,267,1,0,0,1,1,1,1,1
25099,38,UAE,327,4,0,0,1,1,1,1,1
25048,38,UAE,273,1,0,0,0,1,0,1,0
25119,38,UAE,340,1,1,100,0,0,0,1,1
24776,38,UAE,237,1,0,0,0,1,1,1,1
24824,38,UAE,237,3,1,0,0,0,1,1,1
25002,38,UAE,267,3,1,0,0,1,1,1,1
25085,38,UAE,327,1,1,100,0,1,0,0,1
24865,38,UAE,240,1,1,0,0,1,0,1,1
25011,38,UAE,267,4,0,0,0,0,0,1,1
25090,38,UAE,327,3,0,0,0,0,1,1,1
25133,38,UAE,340,2,1,0,1,1,1,0,0
25136,38,UAE,340,2,1,0,0,1,0,0,0
24956,38,UAE,267,1,1,0,1,0,1,1,0
25157,38,UAE,340,4,1,0,1,1,0,0,1
25071,38,UAE,273,5,0,0,0,1,0,1,0
25053,38,UAE,273,1,1,100,1,0,0,1,1
25111,38,UAE,327,5,1,0,0,0,1,1,1
24853,38,UAE,237,5,1,0,0,1,0,1,0
25057,38,UAE,273,2,1,0,0,1,0,0,0
24920,38,UAE,241,3,0,0,0,0,1,1,1
24869,38,UAE,240,2,0,0,0,0,1,1,1
25126,38,UAE,340,2,0,0,0,1,0,1,0
24886,38,UAE,240,5,0,100,0,1,1,1,1
25075,38,UAE,273,5,1,0,0,1,1,1,1
24898,38,UAE,241,1,0,0,1,1,1,0,1
25050,38,UAE,273,1,0,0,0,0,1,1,1
24907,38,UAE,241,2,0,0,1,0,1,1,1
24993,38,UAE,267,3,1,0,0,1,0,1,1
24872,38,UAE,240,3,0,0,0,0,1,1,0
25001,38,UAE,267,3,1,0,0,0,0,1,1
24841,38,UAE,237,5,0,0,0,0,0,1,1
24780,38,UAE,237,1,0,0,0,1,0,0,1
24856,38,UAE,237,5,1,0,0,1,1,0,1
25115,38,UAE,340,1,0,0,0,0,1,1,1
24983,38,UAE,267,3,0,0,0,0,0,1,1
24937,38,UAE,241,5,0,100,0,1,0,1,1
24990,38,UAE,267,3,0,0,0,1,0,1,1
25168,38,UAE,340,5,1,0,0,1,1,1,1
24852,38,UAE,237,5,1,100,0,1,0,1,0
24855,38,UAE,237,5,1,100,0,1,1,1,1
25101,38,UAE,327,4,1,0,0,1,1,0,1
25082,38,UAE,327,1,1,0,0,0,0,1,1
25160,38,UAE,340,5,0,100,0,1,0,1,1
25088,38,UAE,327,2,1,0,1,0,0,1,1
25132,38,UAE,340,2,1,100,1,1,0,1,1
24860,38,UAE,240,1,0,0,0,1,0,1,1
25151,38,UAE,340,4,0,0,0,1,1,1,1
24966,38,UAE,267,2,0,0,0,1,0,1,1
25065,38,UAE,273,3,1,0,0,1,0,1,1
24820,38,UAE,237,3,1,0,0,0,1,1,0
25024,38,UAE,267,4,1,0,0,1,0,0,0
25131,38,UAE,340,2,1,100,1,1,1,1,1
24963,38,UAE,267,1,1,0,0,0,1,1,1
25016,38,UAE,267,4,0,0,1,1,1,1,0
